10,32767,32661,32569,32623,
11,32767,32741,32544,32615,
12,32767,32714,32624,32685,
13,32749,32767,32569,32650,
14,32767,32680,32568,32654,
15,32759,32767,32552,32646,
16,32538,32767,32482,32421,
17,32493,32767,32405,32365,
18,32610,32767,32456,32444,
19,32549,32767,32391,32376,
20,32588,32767,32463,32466,
21,32530,32767,32397,32403,
22,32606,32767,32451,32462,
23,32547,32767,32384,32401,
24,32636,32767,32451,32412,
25,32584,32767,32381,32360,
26,32669,32767,32432,32421,
27,32619,32767,32372,32365,
28,32625,32767,32430,32433,
29,32562,32767,32365,32371,
30,32662,32767,32416,32460,
31,32563,32767,32349,32356#
